código,clave,descripción
45107,CPVC-641,"Adaptador hembra de CPVC 1/2' con inserto de latón, FOSET"
45108,CPVC-642,"Adaptador hembra de CPVC 3/4' con inserto de latón, FOSET"
45109,CPVC-643,"Adaptador hembra de CPVC 1' con inserto de latón, FOSET"
45112,ALG-220B,"Rollo de 30 g de alambre galvanizado calibre 22, en bolsa"
45115,ALG-200B,"Rollo de 30 g de alambre galvanizado calibre 20, en bolsa"
45116,ALG-180B,"Rollo de 30 g de alambre galvanizado calibre 18, en bolsa"
45117,ALG-160B,"Rollo de 30 g de alambre galvanizado calibre 16, en bolsa"
45118,CPVC-361,"Tapón de CPVC 1/2', FOSET"
45119,CPVC-362,"Tapón de CPVC 3/4', FOSET"
45120,CPVC-363,"Tapón de CPVC 1', FOSET"
45121,ALG-145B,"Rollo de 30 g de alambre galvanizado calibre 14.5, en bolsa"
45126,CPVC-261,"Cople de CPVC de 1/2', FOSET"
45127,CPVC-262,"Cople de CPVC de 3/4', FOSET"
45128,CPVC-263,"Cople de CPVC de 1', FOSET"
45129,CPVC-221,"Cople reducción de CPVC de 3/4 x 1/2', FOSET"
45167,R-202,"Regadera cromo 4'con 5 funciones, con brazo, FOSET ELEMENT"
45168,R-202N,"Regadera satín 4'con 5 funciones, con brazo, FOSET ELEMENT"
45175,TA-645X,"Tarja de submontar 59 x 45 x 23 cm, FOSET RIVIERA"
45176,TA-822TX,"Tarja de submontar 82 x 47 x 23 cm doble tina, FOSET RIVIERA"
45206,RIA-74,"Jabonera de latón acabado cromo con plato de vidrio, RIVIERA"
45209,RIA-76,"Toallero de barra de latón acabado cromo, FOSET RIVIERA"
45212,RIA-75,"Dispensador de jabón a pared de latón cromado, RIVIERA"
45213,RIA-70,"Sistema para montaje de accesorios para baño, FOSET RIVIERA"
45215,RIA-75DI,"Dispensador de jabón de repuesto en acabado cromo, RIVIERA"
45216,RIA-75DIN,"Dispensador de jabón de repuesto en acabado satín, RIVIERA"
45221,RIA-74N,"Jabonera de latón acabado satín con plato de vidrio, RIVIERA"
45224,RIA-76N,"Toallero de barra de latón acabado satín, FOSET RIVIERA"
45227,RIA-75N,"Dispensador de jabón a pared de latón satinado, RIVIERA"
45236,CEP-12PJC,"Jaladera/perilla/cerrojo, Porto llave-llave, Latón Brillante"
45249,CARFIL-P2,"Cartucho de repuesto para FILA-P2, FOSET"
45279,CEP-32PJC,"Jaladera/perilla/cerrojo, Porto llave-llave, Cromo"
45280,CARCE-21,"Juego de 2 cartuchos cerámicos de latón, FOSET RIVIERA"
45284,CE-212N,"Céspol de bote minimalista 1 1/4', satín, para lavabo, FOSET"
45295,CEP-22PJC,"Jaladera/perilla/cerrojo, Porto llave-llave, Latón Antiguo"
45296,CEP-62PJC,"Jaladera/perilla/cerrojo, Porto llave-llave, Negro"
45297,ESRO-1/2XA,"Válvula de esfera para gas, roscable, 1/2', alta presión"
45298,ESRO-3/4XA,"Válvula de esfera para gas, roscable, 3/4', alta presión"
45301,CO-23,"Coladera de hierro de una boca para piso, rejilla inox"
45303,CO-44,"Coladera de hierro de cúpula para azotea, FOSET"
45304,COMA-3/4,"Canastilla malla 3/4' inox para fregadero, FOSET"
45305,COMA-1/2,"Canastilla malla 1/2' inox para lavabo, FOSET"
45306,VW-008,"Válvula de descarga 2' para WC de 2 pzas, cadena inox, FOSET"
45307,VW-009,"Válvula de descarga 2' para WC de 1 pza, cadena inox, FOSET"
45312,FLA-40B,"Manguera lavabo/fregadero, vinilo blanco, 1/2' x 1/2', 40 cm"
45313,FFR-55B,"Manguera lavabo/fregadero, vinilo blanco, 1/2' x 1/2', 55 cm"
45316,FFR-100B,"Manguera lavabo/fregadero, vinilo blanco, 1/2'x1/2', 100 cm"
45318,CE-245,"Céspol flexible de PP con contra, para lavabo, con arillo"
45349,R1-LLS-L,Adaptador de corriente alterna para llave de sensor LLS-L
45350,R2-LLS-L,"Caja porta pilas para llave de sensor LLS-L, FOSET"
45351,R3-LLS-L,"Válvula solenoide para llave de sensor LLS-L, FOSET"
45369,CC-1212D,"Abrazadera con derivación 1/2x1/2x1/2', FOSET"
45374,ESSO-1/2XA,"Válvula de esfera para gas, soldable, 1/2', alta presión"
45375,ESSO-3/4XA,"Válvula de esfera para gas, soldable, 3/4', alta presión"
45386,LED-750E,"Foco LED alta potencia 70W (750W) 6500K blanca fría, E26"
45387,LED-650E,"Foco LED alta potencia 60W (650W) 6500K blanca fría, E26"
45399,ANG-01BP,"Llave angular 1/2', 1/4 de vuelta, barrilito, BASIC"
45405,LED-T516O,"Tubo LED T5 16W G5, 6500K blanca fría, opalino, VOLTECK"
45407,LED-T508O,"Tubo LED T5 8W G5, 6500K blanca fría, opalino, VOLTECK"
45411,PVC-561,"Codo 90° de PVC de 1/2', FOSET"
45412,PVC-562,"Codo 90° de PVC de 3/4', FOSET"
45413,PVC-563,"Codo 90° de PVC de 1', FOSET"
45414,PVC-861,"Codo 45° de PVC de 1/2', FOSET"
45415,PVC-862,"Codo 45° de PVC de 3/4', FOSET"
45416,PVC-863,"Codo 45° de PVC de 1', FOSET"
45417,PVC-261,"Cople de PVC cédula 40 de 1/2', FOSET"
45418,PVC-262,"Cople de PVC cédula 40 de 3/4', FOSET"
45419,PVC-263,"Cople de PVC cédula 40 de 1', FOSET"
45420,PVC-761,"Tee sencilla de PVC 1/2', FOSET"
45421,PVC-762,"Tee sencilla de PVC 3/4', FOSET"
45422,PVC-763,"Tee sencilla de PVC 1', FOSET"
45423,PVC-361,"Tapón de PVC 1/2', FOSET"
45424,PVC-362,"Tapón de PVC 3/4', FOSET"
45425,PVC-363,"Tapón de PVC 1', FOSET"
45426,PVC-231,"Reducción bushing de PVC 3/4 x 1/2', FOSET"
45427,PVC-232,"Reducción bushing de PVC 1 x 1/2', FOSET"
45428,PVC-233,"Reducción bushing de PVC 1x 3/4', FOSET"
45429,PVC-611,"Adaptador macho de PVC de 1/2', FOSET"
45430,PVC-612,"Adaptador macho de PVC de 3/4', FOSET"
45431,PVC-613,"Adaptador macho de PVC de 1', FOSET"
45432,PVC-601,"Adaptador hembra de PVC 1/2', FOSET"
45433,PVC-602,"Adaptador hembra de PVC 3/4', FOSET"
45434,PVC-603,"Adaptador hembra de PVC 1', FOSET"
45435,PVC-971,"Tuerca unión lisa de PVC 1/2', FOSET"
45436,PVC-972,"Tuerca unión lisa de PVC 3/4', FOSET"
45437,PVC-973,"Tuerca unión lisa de PVC 1', FOSET"
45442,FILC-CAME,Filtro de carbón para campanas CAME-80/60
45444,CV-004,"Tubo de 40mm (1-1/4') PPR hidráulico, 4m, 2.2kg, FOSET"
45445,CV-005,"Tubo de 50mm (1-1/2') PPR hidráulico, 4m, 3.4kg, FOSET"
45447,CV-264,"Cople de PPR, 1-1/4' (40mm), FOSET"
45448,CV-265,"Cople de PPR, 1-1/2' (50mm), FOSET"
45450,CV-614,"Adaptador PPR 1-1/4' macho con inserto metálico, FOSET"
45451,CV-615,"Adaptador PPR 1-1/2' macho con inserto metálico, FOSET"
45453,CV-604,"Adaptador PPR 1-1/4' hembra con inserto metálico, FOSET"
45454,CV-605,"Adaptador PPR 1-1/2' hembra con inserto metálico, FOSET"
45456,CV-364,"Tapón de PPR 1-1/4', FOSET"
45457,CV-365,"Tapón de PPR 1-1/2', FOSET"
45459,CV-564,"Codo 90° PPR,  1-1/4', FOSET"
45460,CV-565,"Codo 90° PPR,  1-1/2', FOSET"
45465,CV-764,"Tee sencilla de PPR 1-1/4', FOSET"
45466,CV-765,"Tee sencilla de PPR 1-1/2', FOSET"
45468,CV-224,"Reducción de PPR 1-1/4' x 3/4', FOSET"
45471,RS-605,"Resumidero cuadrado 4' x 4', acero inoxidable, gota, AQUA"
45472,RS-607,"Resumidero cuadrado 6' x 6', acero inoxidable, gota, AQUA"
45473,RS-605M,"Resumidero cuadrado 4' x 4', acero inoxidable, negro, gota"
45474,RS-607M,"Resumidero cuadrado 6' x 6', acero inoxidable, negro, gota"
45484,CPVC-71M,"Monomando de empotrar para regadera CPVC 1/2', FOSET"
45486,CPVC-KIT-M,"Kit de instalación p/regadera CPVC 1/2' con monomando, FOSET"
45498,LED-T8361PO,"Tubo LED T8 36W FA8,6500K blanca fría, opalino, VOLTECK"
45499,FWC-P35XL,"Manguera p/WC, acero inox, 3/8'x7/8', 35cm, plástico/latón"
45500,FWC-P40XL,"Manguera p/WC, acero inox, 3/8'x7/8', 40cm, plástico/latón"
45501,FWC-P50XL,"Manguera p/WC, acero inox, 3/8'x7/8', 50cm, plástico/latón"
45502,FWC-40XL,"Manguera p/WC, acero inox, 3/8'x7/8', 40cm, latón/latón"
45503,FWC-P30VL,"Manguera p/WC, vinilo gris, 3/8'x7/8' , 30cm, plástico/latón"
45504,FWC-P40VL,"Manguera p/WC, vinilo gris, 3/8'x7/8' , 40cm, plástico/latón"
45505,FWC-P50VL,"Manguera p/WC, vinilo gris, 3/8'x7/8' , 50cm, plástico/latón"
45506,FTE-55XL,"Manguera 'T' lavabo/fregadero,acero inox,3/8'x1/2'x1/2',55cm"
45510,LED-T836O,"Tubo LED T8 36W G13, 6500K blanca fría, opalino, VOLTECK"
45521,PVC-005,"Tubo de 1-1/2' PVC hidráulico cédula 40, 3m, 2.3kg, FOSET"
45522,PVC-006,"Tubo de 2' PVC hidráulico cédula 40, 3m, 3.1kg, FOSET"
45523,PVC-564,"Codo 90° de PVC de 1-1/4', FOSET"
45524,PVC-565,"Codo 90° de PVC de 1-1/2', FOSET"
45525,PVC-566,"Codo 90° de PVC de 2', FOSET"
45526,PVC-864,"Codo 45° de PVC de 1-1/4', FOSET"
45527,PVC-865,"Codo 45° de PVC de 1-1/2', FOSET"
45528,PVC-866,"Codo 45° de PVC de 2', FOSET"
45529,PVC-264,"Cople de PVC cédula 40 de 1-1/4', FOSET"
45530,PVC-265,"Cople de PVC cédula 40 de 1-1/2', FOSET"
45531,PVC-266,"Cople de PVC cédula 40 de 2', FOSET"
45532,PVC-764,"Tee sencilla de PVC 1-1/4', FOSET"
45533,PVC-765,"Tee sencilla de PVC 1-1/2', FOSET"
45534,PVC-766,"Tee sencilla de PVC 2', FOSET"
45538,PVC-237,"Reducción bushing de PVC 2 x 1-1/2', FOSET"
45539,PVC-364,"Tapón de PVC 1-1/4', FOSET"
45540,PVC-365,"Tapón de PVC 1-1/2', FOSET"
45541,PVC-366,"Tapón de PVC 2', FOSET"
45542,PVC-974,"Tuerca unión lisa de PVC 1-1/4', FOSET"
45543,PVC-975,"Tuerca unión lisa de PVC 1-1/2', FOSET"
45544,PVC-976,"Tuerca unión lisa de PVC 2', FOSET"
45545,PVC-614,"Adaptador macho de PVC de 1-1/4', FOSET"
45546,PVC-615,"Adaptador macho de PVC de 1-1/2', FOSET"
45547,PVC-616,"Adaptador macho de PVC de 2', FOSET"
45548,PVC-604,"Adaptador hembra de PVC 1-1/4', FOSET"
45549,PVC-605,"Adaptador hembra de PVC 1-1/2', FOSET"
45550,PVC-606,"Adaptador hembra de PVC, 2', FOSET"
45558,LED-T818O,"Tubo LED T8 18W G13, 6500K blanca fría, opalino, VOLTECK"
45559,LED-T809O,"Tubo LED T8 9W G13, 6500K blanca fría, opalino, VOLTECK"
45561,CPVC-005,"Tubo de 1-1/2' CPVC hidráulico RD 11, 3m, 2.1kg, FOSET"
45562,CPVC-006,"Tubo de 2' CPVC hidráulico RD 11, 3m, 3.5kg, FOSET"
45572,RV-800,"Regulador de voltaje de 800 VA / 400 W 4 contactos, VOLTECK"
45573,RV-1200,"Regulador de voltaje de 1200 VA / 600 W 8 contactos, VOLTECK"
45574,RV-1600,"Regulador de voltaje de 1600 VA / 800 W 8 contactos, VOLTECK"
45578,PIO-41KNN,"Piola de nylon paracord de 4mm, rollo, negro, 1kg, FIERO"
45579,PIO-41KNC,"Piola de nylon paracord de 4mm, rollo, camo, 1kg, FIERO"
45586,MUL-818U,"Multicontacto 8 entradas, 2 USB A + 2 USB C, blanco, VOLTECK"
45590,PA-APCO1-EB,"Placa armada 1 interruptor,1 contacto,1mod, Española, blanco"
45591,PA-APCO15-EB,"Placa armada 1 interruptor,1contacto,1.5mod,Española, blanco"
45592,PA-APSE15-EB,"Placa armada 1 interruptor, 1.5 módulos, Española, blanco"
45600,PA-APSE15-EEB,"Placa armada 1 interruptor de 3vías, 1.5mód, Española,blanco"
45604,PA-TI-EB,"Placa armada 1 interruptor de timbre,1.5mod, Española,blanco"
45605,PA-TV-EB,"Placa armada 1 toma de TV, 1.5 módulos, Española, blanco"
45607,PA-TE-EB,"Placa armada 1 toma para teléfono, 1.5 mod, Española, blanco"
45630,LEDCI-75C,"Lámpara LED tipo OVNI 12 W (equiv. 75 W), luz cálida, caja"
45631,LEDCI-120C,"Lámpara LED tipo OVNI 18 W (equiv. 125 W), luz cálida, caja"
45633,BR-156,"Bisagra rectangular 1-1/2' negra, HERMEX"
45635,BR-256,"Bisagra rectangular 2-1/2' negra, HERMEX"
45653,RS-801M,"Resumidero cuadrado 4 x 4', latón, negro, FOSET RIVIERA"
45654,RS-802M,"Resumidero cuadrado 6 x 6', latón, negro, FOSET RIVIERA"
45655,PIO-615S,"Piola de Sisal (henequén) de 6 mm x 15 m natural, FIERO"
45656,PIO-630S,"Piola de Sisal (henequén) de 6 mm x 30 m natural, FIERO"
45657,PIO-815S,"Piola de Sisal (henequén) de 8 mm x 15 m natural, FIERO"
45658,PIO-830S,"Piola de Sisal (henequén) de 8 mm x 30 m natural, FIERO"
45659,PIO-1015S,"Piola de Sisal (henequén) de 10 mm x 15 m natural, FIERO"
45660,PIO-1030S,"Piola de Sisal (henequén) de 10 mm x 30 m natural, FIERO"
45661,MUL-818UN,"Multicontacto 8 entradas, 2 USB A + 2 USB C, negro, VOLTECK"
45662,MUL-612U,"Multicontacto 6 entradas, 2 USB A + 2 USB C, blanco, VOLTECK"
45663,MUL-612UN,"Multicontacto 6 entradas, 2 USB A + 2 USB C, negro, VOLTECK"
45664,MUL-411U,"Multicontacto 4 entradas, 1 USB A + 1 USB C, blanco, VOLTECK"
45665,MUL-411UN,"Multicontacto 4 entradas, 1 USB A + 1 USB C, negro, VOLTECK"
45666,PAGA-2XA,"Parrilla de gas de sobreponer,2 quemadores, inox, FOSET AERO"
45667,PAGA-4XA,"Parrilla de gas de sobreponer,4 quemadores, inox, FOSET AERO"
45668,ATIN-007,"Medidor de nivel de agua para tinaco, FOSET"
45676,REP-DBF-9,Lámpara UV 9 W de repuesto para detector de billetes falsos
45682,BR-150B,"Bolsa con 2 bisagras rectangulares 1-1/2', acero pulido"
45683,BR-200B,"Bolsa con 2 bisagras rectangulares 2', acero pulido"
45686,BR-350B,"Bolsa con 2 bisagras rectangulares 3-1/2', acero pulido"
45689,BR-351B,"Bolsa con 2 bisagras rectangulares 3-1/2', acero latonado"
45692,PIO-615A,"Piola de Algodón de 6 mm x 15 m natural, FIERO"
45693,PIO-630A,"Piola de Algodón de 6 mm x 30 m natural, FIERO"
45694,PIO-815A,"Piola de Algodón de 8 mm x 15 m natural, FIERO"
45695,PIO-830A,"Piola de Algodón de 8 mm x 30 m natural, FIERO"
45696,PIO-1015A,"Piola de Algodón de 10 mm x 15 m natural, FIERO"
45697,PIO-1030A,"Piola de Algodón de 10 mm x 30 m natural, FIERO"
45704,PPG-38100,"Metro de manguera para gas, 3/8' PE-AL-PE en rollo de 100m"
45705,PPG-12100,"Metro de manguera para gas, 1/2' PE-AL-PE en rollo de 100m"
45706,PPG-34100,"Metro de manguera para gas, 3/4' PE-AL-PE en rollo de 100m"
45707,PPG-3AV,"Avellanador para tubería de PE-AL-PE, 3/8' a 3/4', FOSET"
45708,PPG-38D,"Doblador de tubería de PE-AL-PE, 3/8', FOSET"
45709,PPG-12D,"Doblador de tubería de PE-AL-PE, 1/2', FOSET"
45710,PPG-34D,"Doblador de tubería de PE-AL-PE, 3/4', FOSET"
45719,PAS-61,"Pasador de barril de acero latón 6', HERMEX"
45720,PAS-51,"Pasador de barril de acero latón 5', HERMEX"
45721,PAS-41,"Pasador de barril de acero latón 4', HERMEX"
45722,PAS-31,"Pasador de barril de acero latón 3', HERMEX"
45723,PAS-21,"Pasador de barril de acero latón 2', HERMEX"
45727,PAS-32,"Pasador de barril de acero latón antiguo 3', HERMEX"
45729,PAS-63,"Pasador de barril de acero cromo 6', HERMEX"
45730,PAS-53,"Pasador de barril de acero cromo 5', HERMEX"
45731,PAS-43,"Pasador de barril de acero cromo 4', HERMEX"
45732,PAS-33,"Pasador de barril de acero cromo 3', HERMEX"
45733,PAS-23,"Pasador de barril de acero cromo 2', HERMEX"
45734,TAE-8X45CG,Caja con 100 taquetes expansivos 8x50 mm con armella cerrada
45735,TAE-10X60CG,Caja con 50 taquetes expansivos 10x65 mm con armella cerrada
45736,TAE-12X70CG,Caja con 25 taquetes expansivos 12x75 mm con armella cerrada
45737,TAE-16X80CG,Caja con 25 taquetes expansivos 16x90 mm con armella cerrada
45746,LLE-175L,"Llave esfera de seguridad de latón, 175g, FOSET"
45750,CLG-3/8L,"Cople espiga (tuerca loca) de latón, 3/8', FOSET"
45766,TORA-33B,"Toldo sombra 80%, raschel beige, 3m x 3m, FIERO"
45770,TORA-33N,"Toldo sombra 90%, raschel negro, 3m x 3m, FIERO"
45836,MUL-202U,"Multicontacto de pared, 2 contactos y 2 USB A+C, VOLTECK"
45837,PIO-61KA,"Piola de algodón de 6 mm, rollo, natural, 1 kg, FIERO"
45838,PIO-81KA,"Piola de algodón de 8 mm, rollo, natural, 1 kg, FIERO"
45839,PIO-101KA,"Piola de algodón de 10 mm, rollo, natural, 1 kg, FIERO"
45846,TOSO-806,"Toldo sombra 80%, monofilamento negro, 3.6m x 6m, FIERO"
45855,CAFIR-1,"Cartucho de repuesto para Filtro de regadera, FOSET"
45860,CV-KIT-M,"Kit de instalación p/regadera PPR 1/2' con monomando, FOSET"
45863,CB-70A,"Candado para disco de motocicleta, perno de 7 mm, c/alarma"
45881,CLG-521E,"Codo estufa a 90° de latón con espiga de 3/8', FOSET"
45905,CM-8,"Cámara para rueda neumática de 8', TRUPER"
45906,CM-10,"Cámara para rueda neumática de 10', TRUPER"
45916,PPG-3438CM,"Cople de compresión reducido para PEALPE, 3/4' x 3/8', FOSET"
45938,PPG-38TA,"Tapón para PE-AL-PE, 3/8', FOSET"
45939,PPG-12TA,"Tapón para PE-AL-PE, 1/2', FOSET"
45940,PPG-34TA,"Tapón para PE-AL-PE, 3/4', FOSET"
45941,PPG-38CF,"Conector para PEALPE, 3/8' a flare 3/8', FOSET"
45943,PPG-38VE,"Válvula esfera para PE-AL-PE, 3/8', FOSET"
45944,PPG-12VE,"Válvula esfera para PE-AL-PE, 1/2', FOSET"
45945,PPG-34VE,"Válvula esfera para PE-AL-PE, 3/4', FOSET"
45946,PPG-38VF,"Válvula esfera para PE-AL-PE, 3/8'a flare 3/8', FOSET"
45947,PPG-12VF,"Válvula esfera para PE-AL-PE, 1/2'a flare 3/8', FOSET"
45968,LLE-115LS,"Llave de esfera de latón 1/2', 115 g, s/adaptador, FOSET"
45969,LLE-140LS,"Llave de esfera de latón 1/2', 140 g, s/adaptador, FOSET"
46012,AL-AA-D,"Despachador con 16 pilas alcalinas AA, VOLTECK"
46013,AL-AAA-D,"Despachador con 16 pilas alcalinas AAA, VOLTECK"
46025,BASE-4,"Base para watthorímetro, 4 terminales, VOLTECK"
46026,LED-1AZ,"Foco LED 1 W, tipo globo G45, color azul, E26, VOLTECK"
46027,LED-1VE,"Foco LED 1 W, tipo globo G45, color verde, E26, VOLTECK"
46028,LED-1AM,"Foco LED 1 W, tipo globo G45, color amarillo, E26, VOLTECK"
46029,LED-1RO,"Foco LED 1 W, tipo globo G45, color rojo, E26, VOLTECK"
46030,AO-114,Bolsa c/5 abrazaderas tipo omega 1-1/4' p/tubo pared delgada
46031,AO-112,Bolsa c/5 abrazaderas tipo omega 1-1/2' p/tubo pared delgada
46032,AO-2,Bolsa c/5 abrazaderas tipo omega 2' p/tubo pared delgada
46033,CPVC-KIT,"Kit de instalación p/regadera CPVC 1/2' con manerales, FOSET"
46034,CPVC-KIT-B,"Kit de instalación, regadera CPVC 1/2' sin manerales, FOSET"
46035,CV-KIT,"Kit de instalación p/regadera PPR 1/2' con manerales, FOSET"
46037,CV-KIT-B,"Kit de instalación p/regadera PPR 1/2' sin manerales, FOSET"
46038,LED-40S,"Foco LED 5 W, tipo barra, 6500K blanca fría, E26, VOLTECK"
46039,LED-60S,"Foco LED 8 W, tipo barra, 6500K blanca fría, E26, VOLTECK"
46040,AU-114,Bolsa c/5 abrazaderas tipo uña 1-1/4' p/tubo pared delgada
46041,AU-112,Bolsa c/5 abrazaderas tipo uña 1-1/2' p/tubo pared delgada
46042,AU-2,Bolsa c/5 abrazaderas tipo uña 2' p/tubo pared delgada
46043,CA-RE-7,"Cargador de pilas, AA, AAA y 9V incluye 2 pilas AAA, VOLTECK"
46044,CA-RE-8,"Cargador de pilas, AA, AAA y 9V, incluye 2 pilas AA, VOLTECK"
46045,CA-RE-9,"Cargador de pilas, AA, AAA y 9V, incluye 4 pilas AA, VOLTECK"
46046,CA-RE-10,"Cargador de pilas, AA, AAA, incluye 4 pilas AA, VOLTECK"
46047,REJI-5,"Rejilla de acero inoxidable 5', cierre con tornillos, FOSET"
46048,RS-702,"Resumidero cuadrado 6' x 6', acero inoxidable , AQUA"
46049,RS-802,"Resumidero cuadrado 6 x 6', latón, cromo, FOSET RIVIERA"
46050,CAB-8N,"Rollo de 100 m de cable THHW-LS 8 AWG negro, VOLTECK"
46051,CAB-10N,"Rollo de 100 m de cable THHW-LS 10 AWG negro, VOLTECK"
46052,CAB-12N,"Rollo de 100 m de cable THHW-LS 12 AWG negro, VOLTECK"
46053,CAB-14N,"Rollo de 100 m de cable THHW-LS 14 AWG negro, VOLTECK"
46054,CAB-8B,"Rollo de 100 m de cable THHW-LS 8 AWG blanco, VOLTECK"
46055,CAB-10B,"Rollo de 100 m de cable THHW-LS 10 AWG blanco, VOLTECK"
46056,CAB-12B,"Rollo de 100 m de cable THHW-LS 12 AWG blanco, VOLTECK"
46057,CAB-14B,"Rollo de 100 m de cable THHW-LS 14 AWG blanco, VOLTECK"
46058,CAB-8R,"Rollo de 100 m de cable THHW-LS 8 AWG rojo, VOLTECK"
46059,CAB-10R,"Rollo de 100 m de cable THHW-LS 10 AWG rojo, VOLTECK"
46060,CAB-12R,"Rollo de 100 m de cable THHW-LS 12 AWG rojo, VOLTECK"
46061,CAB-14R,"Rollo de 100 m de cable THHW-LS 14 AWG rojo, VOLTECK"
46062,CAB-8V,"Rollo de 100 m de cable THHW-LS 8 AWG verde, VOLTECK"
46063,CAB-10V,"Rollo de 100 m de cable THHW-LS 10 AWG verde, VOLTECK"
46064,CAB-12V,"Rollo de 100 m de cable THHW-LS 12 AWG verde, VOLTECK"
46065,CAB-14V,"Rollo de 100 m de cable THHW-LS 14 AWG verde, VOLTECK"
46066,CDU-12,"Rollo de 100 m de cordón dúplex flexible SPT 12 AWG, VOLTECK"
46067,CDU-14,"Rollo de 100 m de cordón dúplex flexible SPT 14 AWG, VOLTECK"
46068,CDU-16,"Rollo de 100 m de cordón dúplex flexible SPT 16 AWG, VOLTECK"
46069,CDU-18,"Rollo de 100 m de cordón dúplex flexible SPT 18 AWG, VOLTECK"
46087,FUS-30A-D,Tarjeta despachadora con 10 fusibles 30 A con agarradera
46090,LEDCI-75F,"Lámpara LED tipo OVNI 12 W (equiv. 75 W), luz de día, caja"
46091,LEDCI-120F,"Lámpara LED tipo OVNI 18 W (equiv. 125 W), luz de día, caja"
46092,TVSF-70,"Soporte para pantallas de 32' a 70', fijo, VOLTECK"
46093,TVSA-65,Soporte para pantallas de 26' a 65' con movimiento angular
46094,TVSM-37,Soporte para pantallas 23' a 37' mov. angular y articulado
46095,TVSM-42,Soporte para pantallas 23' a 42' mov. angular y articulado
46096,TVSM-65,Soporte para pantallas 26' a 65' mov. angular y articulado
46099,EXA-8B,"Extractor de aire de 8', blanco, VOLTECK"
46107,CODO-GFCI,"Contacto dúplex, falla a tierra GFCI (ICFT), Classic"
46130,LUZ-01,"Luz de noche con lámpara E12, flor, VOLTECK"
46131,LUZ-02,"Luz de noche con lámpara E12, corona princesa, VOLTECK"
46132,LUZ-03,"Luz de noche con lámpara E12, catarina, VOLTECK"
46133,LUZ-04,"Luz de noche con lámpara E12, balón soccer, VOLTECK"
46135,LUZ-06,"Luz de noche con lámpara E12, perro, VOLTECK"
46136,LUZ-07,"Luz de noche con lámpara E12, Santa Claus, VOLTECK"
46137,LUZ-08,"Luz de noche con lámpara E12, pino de navidad, VOLTECK"
46138,RS-603,"Resumidero cuadrado metálico 6' x 6', FOSET"
46150,LUZ-09,"Luz de noche de LED, mariposa, VOLTECK"
46151,LUZ-10,"Luz de noche de LED, barco, VOLTECK"
46152,LUZ-11,"Luz de noche de LED, luna, VOLTECK"
46154,TUIZ-7/8M,"Tuerca izquierda de latón 7/8' con maneral plástico, FOSET"
46160,MV-33,"Cinta de aislar de 18 m x 19 mm, negra, VOLTECK"
46177,LED-164EC,"Lámpara de LED 4 W tipo MR 16 base GU5.3 luz cálida, blíster"
46178,LED-164E,"Lámpara de LED 4 W tipo MR 16 base GU5.3 luz de día, blíster"
46179,LED-166EC,"Lámpara de LED 6 W tipo MR 16 base GU5.3 luz cálida, blíster"
46180,LED-166E,"Lámpara de LED 6 W tipo MR 16 base GU5.3 luz de día, blíster"
46182,LED-207E,"Foco LED 6 W tipo PAR20, 6500K blanca fría, VOLTECK"
46183,LED-207CE,"Foco LED 6 W tipo PAR20, 3000K blanca cálida, VOLTECK"
46187,LED-3011E,"Foco LED 11 W tipo PAR30, 6500K blanca fría, VOLTECK"
46188,LED-3011CE,"Foco LED 11 W tipo PAR30, 3000K blanca cálida, VOLTECK"
46191,LED-3814E,"Foco LED 14 W tipo PAR38, 6500K blanca fría, VOLTECK"
46192,LED-3814CE,"Foco LED 14 W tipo PAR38, 3000K blanca cálida, VOLTECK"
46195,LED-G10,"Foco LED 8 W, tipo globo G95,6500K blanca fría, E26, VOLTECK"
46196,MAMO-09,Rollo de 11 m x 0.92 m malla mosquitera de acero galvanizado
46211,LED-196FC,"Foco LED filamento 6 W, A19, 2700K luz ambar, E26, VOLTECK"
46212,LED-V3FC,"Foco LED filamento 3 W, vela, 2700K luz ambar, E26, VOLTECK"
46215,LED-104E,"Lámpara de LED 4 W tipo MR 16 base GU10 luz de día, blíster"
46216,LED-104EC,"Lámpara de LED 4 W tipo MR 16 base GU10 luz cálida, blíster"
46217,LED-106E,"Lámpara de LED 6 W tipo MR 16 base GU10 luz de día, blíster"
46218,LED-106EC,"Lámpara de LED 6 W tipo MR 16 base GU10 luz cálida, blíster"
46221,LED-100F,"Foco LED 14W (100W) A19, 6500K blanca fría, 1500 lm, caja"
46222,LED-125F,"Foco LED 18W (125W) A25, 6500K blanca fría, 1900 lm, caja"
46223,VW-007,"Válvula de descarga 3' para WC de 2 pzas, cadena plástica"
46225,LED-170,"Foco LED alta potencia 20W (170W) 6500K blanca fría, E26"
46226,LED-250,"Foco LED alta potencia 30W (250W) 6500K blanca fría, E26"
46227,LED-350,"Foco LED alta potencia 40W (350W) 6500K blanca fría, E26"
46228,LED-450,"Foco LED alta potencia 50W (450W) 6500K blanca fría, E26"
46235,CUG-WC-R,"Cuello de cera con guía para WC, robusto, 250 g, FOSET"
46236,CU-WC-R,"Cuello de cera sin guía para WC, robusto, 250 g, FOSET"
46237,BOAP-1/2F2,"Bomba periférica 1/2HP, altura máx 30m, uso agrícola, FOSET"
46250,AD-270,"Adaptador con supresor de picos 270 joules, VOLTECK"
46252,AD-32B,"Bolsa con 2 adaptadores 3 a 2 blancos, VOLTECK"
