código,clave,descripción
101447,CIAH-02T,Tarjeta 6 tiras 23cm antiderrapantes trans. 50mm área húmeda
101448,CIA-25P,Rollo 5 m de cinta antiderrapante ama/negra 50mm c/abrasivo
101449,CIA-218P,Rollo 18 m de cinta antiderrapante ama/negra 50mm c/abrasivo
101450,CIA-25L,Rollo de 5 m cinta antiderrapante fotolumini. 50 mm abrasivo
101451,CIA-218L,Rollo de 18m cinta antiderrapante fotolumini. 50 mm abrasivo
101454,ABT-335,"Disco para corte de metal 4-1/2' tipo 41, TRUPER EXPERT"
101456,COMBOE-4590N,"Combo esmeriladora 4-1/2',950W, discos, lentes y guantes,IND"
101519,MEZ-150N,"Mezcladora eléctrica 1500W, TRUPER INDUSTRIAL"
101521,ASP-5S,"Aspiradora sólidos y líquidos, 5 gal, soplador desmontable"
101522,ASP-16S,"Aspiradora sólidos y líquidos, 16 gal, soplador desmontable"
101523,ASP-5X,"Aspiradora de sólidos y líquidos, 5 gal, acero inox, TRUPER"
101524,ASP-12X,"Aspiradora de sólidos y líquidos, 12 gal, acero inox, TRUPER"
101525,ASP-16X,"Aspiradora de sólidos y líquidos, 16 gal, acero inox, TRUPER"
101540,BJ-4PC,"Bieldo para jardín, 4 dientes cuadrados, mango 29', puño 'Y'"
101550,BES-6X,"Broca escalonada titanio 6 escalones 3/16' a 1/2', EXPERT"
101553,BES-12X,"Broca escalonada titanio 12 escalones 3/16' a 7/8', EXPERT"
101554,BES-11X,"Broca escalonada titanio 11 escalones 1/4' a 7/8', EXPERT"
101571,GRAS-45C,"Grasa lubricante para chasis, base calcio, 450 g, TRUPER"
101572,GRAS-350C,"Grasa lubricante para chasis, base calcio, 3.5 kg, TRUPER"
101573,GRAS-350,"Grasa lubricante multiusos, base litio, 3.5 kg, TRUPER"
101574,GRAS-45B,"Grasa automotriz, base bentona, 450 g, TRUPER"
101580,MAND-BRB,"Broca piloto de 1/4' para brocasierras bimetálicas, EXPERT"
101581,MAND-BRD,"Broca piloto de 1/4' para brocasierras diamante, TRUPER"
101591,CAU-40E,Cautín 40 W profesional tipo pistola para electrónica
101602,REP-T45XZ,"Cuchilla y resorte de repuesto para T-45XZ, TRUPER"
101615,REP-M1412,"Kit de refacciones para M-1412, TRUPER"
101617,REP-M3890,"Kit de repuesto para M-3890, TRUPER"
101619,REP-M1290,"Kit de repuesto para M-1290, TRUPER"
101636,ESLI-604R,"Eslinga de poliéster redonda sin fin, 6 T x 4 m, TRUPER"
101665,POHE-5N,"Porta herramientas de poliéster, 5 compartimentos, TRUPER"
101672,REP-M3812,"Kit de refacciones para M-3812, TRUPER"
101675,P12-2TS,"Juego de 12 puntas torx combinadas c/seguro largo 2', EXPERT"
101676,PUN-12PL2P,"Juego de 12 puntas planas std combinadas largo 2', EXPERT"
101677,PUN-12PL2M,"Juego de 12 puntas planas mm combinadas largo 2', EXPERT"
101678,P12-2T,"Juego de 12 puntas torx combinadas largo 2', TRUPER EXPERT"
101679,PUDE-12H2M,"Juego de 12 puntas hexagonales mm largo 2', EXPERT"
101684,AFB-118,"Afilador eléctrico para brocas con punta 118°, TRUPER"
